pname,society,price_outer,price_per_sqft,possesion,description,Area,Floor Number,Facing,Property Age,furnishing,features,Overlooking,bedrooms,bathrooms,balconies,additional_room,Floor_On,Total_Floors,area
"2 BHK Flat in Mandideep, Bhopal",sheetal dham society,20.0,2666,Ready To Move,"House is very looking good , actually job tranferd to andhra pradesh so i want to sale my house .","Carpet area: 750
(69.68 sq.m.)  
sq.ft.",1st   of 5 Floors,NA,1 to 5 Year Old,,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","Pool,Park/Garden,Club,Main Road,Others",2,2,1,Not Available,1,5,750.19
"2 BHK Flat in Arera Colony, Bhopal",shiva apartment,25.9,3453,Ready To Move,"For sale: A well-Maintained 2bhk residential flat on the first floor in a prime location, shiva apartment (E-7, near sai board square, 11 no. Road, bhopal).","Super Built up area 750
(69.68 sq.m.)
Built Up area: 550 sq.ft. (51.1 sq.m.)
Carpet area: 400 sq.ft. (37.16 sq.m.)  
sq.ft.",1st   of 3 Floors,North,10+ Year Old,"['2 Wardrobe', '20 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",['Visitor Parking'],Main Road,2,2,1,Not Available,1,3,750.07
"3 BHK Flat in Ayodhya Bypass , Bhopal",prestine the homes,30.9,3433,Ready To Move,"For sale very urgently: 1372 sq. Ft., 3bhk spacious, luxurious, well-Maintained, unused flat near narela square, walking distance from the main road, ayodhya bypass, bhopal.","Super Built up area 1372
(127.46 sq.m.)
Carpet area: 900 sq.ft. (83.61 sq.m.)  
sq.ft.",4th   of 4 Floors,East,5 to 10 Year Old,,"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Lift(s)', 'Maintenance Staff', 'Park', 'Security Personnel', 'Rain Water Harvesting']",Others,3,2,1,Not Available,4,4,900.09
"1 BHK Flat in Ayodhya Bypass , Bhopal",raj minal residency,12.9,4300,Ready To Move,"For sale urgently: 400 sq. Ft. 1-Bhk, new, unused residential and commercial flat in a prime location at new minal residency, ayodhya bypass, bhopal.","Super Built up area 500
(46.45 sq.m.)
Built Up area: 400 sq.ft. (37.16 sq.m.)
Carpet area: 300 sq.ft. (27.87 sq.m.)  
sq.ft.",Ground of 2 Floors,West,0 to 1 Year Old,,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Water Storage', 'Park', 'Visitor Parking']",Others,1,1,0,Not Available,0,2,300.0
"2 BHK Flat in TT Nagar, Bhopal",sharda apartment,65.0,9285,Ready To Move,"6 malviya nagar , near rajbhawan , well suited for commercial purpose","Built Up area: 700
(65.03 sq.m.)
Carpet area: 670 sq.ft. (62.25 sq.m.)  
sq.ft.",Ground of 3 Floors,NA,10+ Year Old,,,,2,1,1,Not Available,0,3,700.05
"2 BHK Flat in Arera Colony, Bhopal",lala lajpat rai society,15.0,3000,Ready To Move,"Located in the popular residential address of arera colony, bhopal, lala lajpat rai society is one of the most preferred destination for apartments in bhopal. This 2 bhk flat is your ticket to be a part of this community. The floor plan additionally contains 2 bedroom(s), 2 bathrooms and 1 balcony. All in all, the flat is spread over a carpet area of 500 sq.Ft. The property is located on the 1st floor of a 4 floors tall building. An added advantage of this 10+ years old flat is that it is available for immediate possession as the project is already ready to move.","Carpet area: 500
(46.45 sq.m.)  
sq.ft.",1st   of 4 Floors,NA,10+ Year Old,,,,2,2,1,Not Available,1,4,500.0
"3 BHK Flat in Shahjahanabad, Bhopal",imperial heights,35.0,3888,Ready To Move,"Situated in shahjahanabad, bhopal, imperial heights is a well planned society that offers a pleasant living experience to its residents. This 3 bhk flat in bhopal is your opportunity to be a part of this community. This property faces the east direction. Containing 3 bedroom(s), 2 bathrooms and 1 balcony, this flat is spread over a carpet area of 900 sq.Ft. This flat lies on the 3rd level of a 4 storey building. As the project is already ready to move, so you can easily move into this 1-5 years old property. The beautifully designed vitrified flooring enhances the beauty of the flat. Another plus point for this is that it is situated near close to school, close to hospital, close to market and close to highway. The flat will offer a modern lifestyle as it is presented with many of the amenities such as maintenance staff and lift(s). The project provides access to clean water through municipal corporation and borewell/tank supply.","Carpet area: 900
(83.61 sq.m.)  
sq.ft.",3rd   of 4 Floors,East,1 to 5 Year Old,"['1 Wardrobe', '2 Fan', '2 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Private Garden / Terrace', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Piped-gas']",Main Road,3,2,1,Not Available,3,4,900.21
"2 BHK Flat in Shahjahanabad, Bhopal",imperial heights,25.0,3328,Ready To Move,"This 2 bhk apartment is available for sale in imperial heights, one of the most prominent projects for flats in shahjahanabad, bhopal. This residential flat is north-Facing direction. The floor plan additionally contains 2 bedroom(s), 2 bathrooms and 1 balcony. All in all, the flat is spread over a carpet area of 751 sq.Ft. This flat is situated on the 3rd floor of this 4 floors tall residential building. This 1-5 years old property is available for immediate possession as the project is ready to move. The beautifully designed vitrified flooring enhances the beauty of the flat. This residential property is situated near close to school, close to hospital, close to market and close to highway. All the modern amenities such as maintenance staff and lift(s) will make life easier for you. The society provides continuous water supply from borewell/tank and municipal corporation.","Carpet area: 751
(69.77 sq.m.)  
sq.ft.",3rd   of 4 Floors,North,1 to 5 Year Old,"['2 Fan', '2 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Private Garden / Terrace', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Waste Disposal']",,2,2,1,Not Available,3,4,751.2
"2 BHK Flat in Hoshangabad Road, Bhopal",nirupam royal palms,25.0,2173,Ready To Move,Wood work in both rooms and covered kitchen,"Super Built up area 1150
(106.84 sq.m.)
Carpet area: 870 sq.ft. (80.83 sq.m.)  
sq.ft.",5th   of 6 Floors,NA,1 to 5 Year Old,,"['Power Back-up', 'Security / Fire Alarm', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Water Storage', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","Pool,Park/Garden,Club",2,1,1,Not Available,5,6,1150.48
"2 BHK Flat in Sarvdharm Colony, Bhopal",shiva estate,20.0,2857,Ready To Move,Covered campus . With temple and club house .,"Carpet area: 700
(65.03 sq.m.)  
sq.ft.",1st   of 5 Floors,NA,5 to 10 Year Old,"['1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",,,2,2,2,Not Available,1,5,700.04
"2 BHK Flat in Katara Hills, Bhopal",agrawal sagar golden palm,25.0,3571,Ready To Move,"Agrawal sagar golden palm is one of bhopal's most sought after destination for apartments and this 2 bhk flat in katara hills is your opportunity to be a part of this community. Containing 2 bedroom(s), 2 bathrooms and 1 balcony, this flat is spread over a carpet area of 700 sq.Ft. The flat has a total of 6 floors and this property is situated on upper ground floor. This 5-10 years old property is available for immediate possession .","Carpet area: 700
(65.03 sq.m.)  
sq.ft.",Ground of 6 Floors,NA,5 to 10 Year Old,,"['Power Back-up', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Security Personnel', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']",,2,2,1,Not Available,0,6,700.08
"2 BHK Flat in Katara Hills, Bhopal",amaltas ambreen homes,30.0,3024,Ready To Move,2bhk good condition with amazing facilities,"Super Built up area 992
(92.16 sq.m.)
Built Up area: 640 sq.ft. (59.46 sq.m.)  
sq.ft.",3rd   of 7 Floors,East,5 to 10 Year Old,"['3 Bed', '4 Fan', '2 Light', '1 AC', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Lift(s)', 'Maintenance Staff', 'Security Personnel', 'Club house / Community Center']","Pool,Park/Garden",2,2,1,Not Available,3,7,992.06
"2 BHK Flat in Airport Road, Bhopal",indra vihar residency,25.0,3333,Ready To Move,"We are the proud owners of this 2 bhk apartment available in indra vihar residency, airport road, bhopal. This it is a and the unit is located on ground floor and has a super built-Up area of 750 sq.Ft. . It has 2 bathroom(s) and 1 balcony(s). The ownership is freehold type.","Super Built up area 750
(69.68 sq.m.)  
sq.ft.",Ground of 2 Floors,NA,10+ Year Old,,,,2,2,1,Not Available,0,2,750.08
"2 BHK Flat in Indra Vihar Colony, Bhopal",tilak society,25.0,3333,Ready To Move,"Best location in bhopal, 2 bhk flat with 2 toilet bathroom ground floor. Fully ventilation. Two side entrance, front and back","Carpet area: 750
(69.68 sq.m.)  
sq.ft.",Ground of 2 Floors,South-West,5 to 10 Year Old,"['2 Fan', '14 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",,,2,2,1,Not Available,0,2,750.08
"2 BHK Flat in Gurunanak Pura, Bhopal",bhagwan enclave phase 2,25.0,5555,Ready To Move,2 bhk flat for sale and rent both purpose Centre point of bhopal Behind capital petrol pump near prabhat petrol pump,"Carpet area: 450
(41.81 sq.m.)  
sq.ft.",3rd   of 3 Floors,East,10+ Year Old,"['1 Wardrobe', '1 Water Purifier', '3 Fan', '2 Light', '1 Curtains', 'No AC', 'No Bed', 'No Chimney', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine']",['Visitor Parking'],,2,2,1,Not Available,3,3,450.05
"3 BHK Flat in Misrod, Bhopal",shrinath sheetal heights,35.0,2916,Ready To Move,"Looking for a 3 bhk property for sale in bhopal? Buy this 3 bhk flat in shrinath sheetal heights that is situated in misrod, bhopal. Containing 3 bedroom(s), 3 bathrooms and 2 balconies, this flat is spread over a carpet area of 1200 sq.Ft. The residential building has 7 floors in total and the flat for sale is located on the 2nd floor. This 1-5 years old property is available for immediate possession as the project is ready to move.","Carpet area: 1200
(111.48 sq.m.)  
sq.ft.",2nd   of 7 Floors,NA,1 to 5 Year Old,,"['Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",,3,3,2,Not Available,2,7,1200.27
"2 BHK Flat in Katara Hills, Bhopal",asnani spring valley dew,38.0,6119,Ready To Move,"This 2 bhk apartment is available for sale in asnani spring valley dew, one of the most prominent projects for flats in katara hills, bhopal. Containing 2 bedroom(s), 2 bathrooms and 2 balconies, this flat is spread over a built up area of 621 sq.Ft. This flat lies on the 1st level of a 6 storey building. As the project is already ready to move, so you can easily move into this 1-5 years old property. The society is well equipped with many modern amenities, including fitness centre / gym, park, club house / community center, cctv surveillance and lift(s).","Built Up area: 621
(57.69 sq.m.)
Carpet area: 588 sq.ft. (54.63 sq.m.)  
sq.ft.",1st   of 6 Floors,NA,1 to 5 Year Old    View Construction Status,,"['Lift(s)', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center']",,2,2,2,Not Available,1,6,621.02
"3 BHK Flat in Arera Colony, Bhopal",sai dev apartment,45.0,4500,Ready To Move,Its in posh area e7 arera colony bhopal also metro is coming by beside to our area also its ground floor by 1000 sq ft also its independent house like duplex,"Carpet area: 1000
(92.9 sq.m.)  
sq.ft.",Ground of 2 Floors,NA,10+ Year Old,,,,3,2,2,Not Available,0,2,1000.0
"4 BHK Flat in Shirdipuram, Bhopal",agrawal sagar premium towers,55.0,4867,Ready To Move,"A 4 bhk apartment in sagar priyam tower jk hospital kolar road bhopal bhopal is available for sale. This property is a part of agrawal sagar premium towers.It has a super built-Up area of 1500 sq.Ft. Carpet area 1130 square feet the apartment is spaciously designed with 4 bedrooms, 3 bathrooms and more than 1 balconies. The apartment is on the 5th floor of 6 floors. The ownership of the apartment is freehold. The expected price of this property is price on request().","Super Built up area 1130
(104.98 sq.m.)  
sq.ft.",5th   of 6 Floors,NA,10+ Year Old,,,,4,3,3,Not Available,5,6,1130.06
"2 BHK Flat in Kolar Road, Bhopal",sarvadharm colony,17.0,2428,Ready To Move,"We are the proud owners of this 2 bhk apartment available in sarvadharm colony, kolar road, bhopal. This it is a and the unit is located on 2nd floor and has a super built-Up area of 700 sq.Ft. . It has 2 bathroom(s) and 1 balcony(s). The ownership is freehold type.","Super Built up area 700
(65.03 sq.m.)  
sq.ft.",2nd   of 3 Floors,NA,10+ Year Old,,,,2,2,1,Not Available,2,3,700.16
"3 BHK Flat in Kohefiza, Bhopal",kamal krishna plaza apartments,75.0,4687,Ready To Move,"We are the proud owners of this 3 bhk apartment available in kamal krishna plaza apartments, krishnanchal appartment, bhopal. This it is a and the unit is located on 2nd floor and has a super built-Up area of 1600 sq.Ft. . It has 2 bathroom(s) and 3 balcony(s). The ownership is freehold type.","Super Built up area 1600
(148.64 sq.m.)  
sq.ft.",2nd   of 3 Floors,NA,5 to 10 Year Old,,,,3,2,3,Not Available,2,3,1600.17
"3 BHK Flat in Salaiya, Bhopal",shiva whispering woods,42.0,3818,Ready To Move,"We are the proud owners of this 3 bhk apartment available in shiva whispering woods, salaiya, bhopal. This it is a and the unit is located on 4th floor and has a carpet area of 1100 sq.Ft. . It has 2 bathroom(s) and 2 balcony(s). The ownership is freehold type.","Carpet area: 1100
(102.19 sq.m.)  
sq.ft.",4th   of 6 Floors,NA,1 to 5 Year Old,,,,3,2,2,Not Available,4,6,1100.05
"3 BHK Flat in Bagmugaliya, Bhopal",sagar royal villas,38.0,2171,Ready To Move,"Check out this 3 bhk apartment for sale in sagar royal villas, a popular residential project that houses in-Demand flats in bagmugaliya, bhopal. The floor plan additionally contains 3 bedroom(s), 3 bathrooms and 2 balconies. All in all, the flat is spread over a super built up area of 1750 sq.Ft. The residential building has 5 floors in total and the flat for sale is located on the 4th floor. This is a ready to move project and the property is 1-5 years old. This residential property is situated near close to metro station, close to hospital, close to railway station and close to market. The flat will offer a modern lifestyle as it is presented with many of the amenities such as swimming pool, fitness centre / gym, club house / community center, park, lift(s), security personnel and maintenance staff.","Super Built up area 1750
(162.58 sq.m.)  
sq.ft.",4th   of 5 Floors,NA,1 to 5 Year Old,"['2 Wardrobe', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Park', 'Security Personnel', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']",,3,3,2,Not Available,4,5,1750.35
"3 BHK Flat in Hoshangabad Road, Bhopal",aashima royal city,41.0,3037,Ready To Move,Nice place.Ready to move.Pls contact,"Carpet area: 1350
(125.42 sq.m.)  
sq.ft.",5th   of 6 Floors,NA,0 to 1 Year Old,"['3 Fan', '1 Geyser', '8 Light', '1 Curtains', 'No AC', 'No Bed', 'No Chimney', 'No Dining Table', 'No Exhaust Fan', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Water Storage', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center']","Pool,Park/Garden,Club",3,2,2,Not Available,5,6,1350.02
"2 BHK Flat in Hoshangabad Road, Bhopal",lakhumal nikhil nestles,30.0,2500,Ready To Move,Good society for the family .....Please visit once . Its including all aminities .,"Super Built up area 1200
(111.48 sq.m.)
Carpet area: 900 sq.ft. (83.61 sq.m.)  
sq.ft.",6th   of 6 Floors,West,5 to 10 Year Old,"['4 Fan', '2 Geyser', '10 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Piped-gas', 'Visitor Parking', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']","Park/Garden,Main Road",2,2,2,Not Available,6,6,1200.0
